track_id,track_name,danceability,energy,speechiness,acousticness,valence
2DsZ6pXK1AG6emFugTeYW3,Gelo,0.546,0.563,0.0945,0.242,0.897
6juLaduD4STCUDWT0AYun4,MORE,0.66,0.787,0.032,0.00257,0.199
3F9ByoUqu31xU0I3G5xfVg,Meet Me Halfway,0.798,0.629,0.0735,0.00474,0.4
6MHeQK5HbzLFIUzfbyt8pO,Warzone,0.614,0.727,0.0274,0.19,0.223
60a0Rd6pjrkxjPbaKzXjfq,In the End,0.556,0.864,0.0584,0.00958,0.4
0U7s0q2Q81a3n4bvPi6vSb,I Found You,0.732,0.788,0.113,0.17,0.528
6iO2JKc25YwO27CoQIya3O,Na Na Na,0.917,0.62,0.0567,0.26,0.457
2bL2gyO6kBdLkNSkxXNh6x,Animals,0.279,0.742,0.0898,0.000185,0.328
2BY7ALEWdloFHgQZG6VMLA,Brandy (You're a Fine Girl),0.716,0.625,0.0601,0.396,0.826
4cno0k9jDEFpLAQyHNjqVx,Tócame (feat. Arcangel & De La Ghetto),0.785,0.74,0.172,0.0205,0.746
2yuyPke3xjantGgapFPH3e,Contradiction (feat. Tyler Carter),0.469,0.982,0.208,0.00353,0.413
0QWe786CWm4PVKRdaehQoB,3 Sum,0.943,0.499,0.157,0.0545,0.881
3mRLHiSHYtC8Hk7bzZdUs1,River,0.733,0.477,0.0687,0.302,0.545
2AY1UAimvTqjJC8vDJsOyy,Mayores,0.745,0.836,0.0444,0.145,0.874
6I4tqXElEnqdoPHp34Co21,Payback,0.7,0.824,0.0772,0.173,0.763
6fNhZRFEkBfgW39W3wKARJ,Pompeii,0.679,0.715,0.0407,0.0755,0.571
0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,0.649,0.716,0.0349,0.0863,0.163
50HQcZ73TTZ2kQNUhcYawy,Só Voce,0.834,0.522,0.0479,0.023,0.892
13qjycCLStZb9sJje6v0MC,Red Like Roses - Part II (feat. Casey Lee Williams & Sandy Casey),0.402,0.867,0.0843,2.11e-05,0.38
3acBQxxlyb0jC2xqndDzSf,"You Know My Name - From ""Casino Royale"" Soundtrack",0.366,0.869,0.0387,0.0207,0.384
5g7rJvWYVrloJZwKiShqlS,Dirty Paws,0.359,0.649,0.0349,0.107,0.133
6GG73Jik4jUlQCkKg9JuGO,The Middle,0.643,0.849,0.0526,0.0371,0.903
1mea3bSkSGXuIRvnydlB5b,Viva La Vida,0.486,0.617,0.0287,0.0954,0.417
2jqPr0ukhRippoNrW9Nrj3,Tangerina,0.685,0.446,0.0452,0.121,0.271
3SYOErtILwcoC4FofjtkxS,Vem Quente Que Eu Estou Fervendo,0.716,0.976,0.0492,0.0865,0.483
1dtTRXifeGC51adYy0902s,Bad Boy,0.861,0.82,0.0728,0.032,0.781
6V5DQrWqqMYfJL69FEv86o,A Libertina,0.668,0.764,0.214,0.19,0.691
4Clmg1g8n2yBYG13Z1oSdG,Baila Conmigo (feat. Kelly Ruiz),0.745,0.972,0.0774,0.00903,0.556
3f4fc8c8unrQeKecmUPEDR,Warriors,0.14,0.478,0.0484,0.1,0.0412
7wBJfHzpfI3032CSD7CE2m,STARGAZING,0.487,0.789,0.044,0.00947,0.0564
6gBFPUFcJLzWGx4lenP6h2,goosebumps,0.841,0.728,0.0484,0.0847,0.43
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,0.834,0.73,0.222,0.00513,0.446
3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,0.598,0.427,0.0317,0.0546,0.0605
39Yp9wwQiSRIDOvrVg7mbk,THE SCOTTS,0.716,0.537,0.0514,0.233,0.28
7qPFNt2ro8pDzemtMxO72f,To the End,0.547,0.754,0.0383,0.035,0.41
7IAbo4n3HK6YCOs5bNahid,Run and Hide,0.756,0.515,0.0486,0.0469,0.516
1t5F0V7FL3usVveLG49JIi,Vivir Soñando,0.676,0.684,0.0282,0.0958,0.751
1eumDcFTsoLPEN31viUhkt,Gravity (feat. Magga & Evokings),0.727,0.638,0.04,0.0121,0.113
4FthwGFz9SVZgCVqxNXsSK,Invincible,0.405,0.962,0.0842,0.000213,0.489
1Cj2vqUwlJVG27gJrun92y,The Sound of Silence,0.322,0.28,0.0281,0.468,0.175
3PkUvpDnKBjOR11CTAD607,Sobrou Silêncio,0.824,0.76,0.116,0.37,0.279
7qaYhfTkekBcIm8q9Mewjd,Bédi Beat,0.76,0.756,0.0353,0.00538,0.815
5rgy6ghBq1eRApCkeUdJXf,We Are Young (feat. Janelle Monáe),0.378,0.638,0.075,0.02,0.735
63SHcJzckFykS8faA5zojY,Vem Me Satisfazer,0.862,0.561,0.335,0.596,0.541
3KDrOuo1mXgkuZVQnpFAD7,Not Done Yet,0.687,0.614,0.0427,0.105,0.71
3lbtAQu0xBhbVXwgmxj9zy,School of Rock (Teacher's Pet),0.4,0.944,0.0465,0.00868,0.403
0NMzV2etWr2eBIbUDuKA5I,Toss a Coin to Your Witcher,0.466,0.48,0.0275,0.588,0.189
02OMdYU4K7TTsZKTqoZue9,Dead Man Walking,0.325,0.538,0.211,0.0792,0.247
0BcP3FTTxSty93nTnB2a9H,Powerful (feat. Ellie Goulding & Tarrus Riley),0.598,0.792,0.0478,0.121,0.732
4kUQS8pmQq8DduCshzrgP9,Tonight We Break In,0.453,0.482,0.053,0.157,0.289
